gene_name	gene_id	transcript_id	chrom	strand	tss	tes	region_start	region_end	region_length	usable
AL669831.5	ENSG00000237491.8	ENST00000429505.5	chr1	+	779056	804875	738096	804875	66780	yes
FAM87B	ENSG00000177757.2	ENST00000326734.2	chr1	+	817371	819837	776411	819837	43427	yes
LINC00115	ENSG00000225880.5	ENST00000473798.1	chr1	-	827522	826206	826206	868482	42277	yes
FAM41C	ENSG00000230368.2	ENST00000446136.1	chr1	-	876903	868071	868071	917863	49793	yes
AL645608.6	ENSG00000272438.1	ENST00000607769.1	chr1	+	904834	915976	863874	915976	52103	yes
AL645608.2	ENSG00000230699.2	ENST00000448179.1	chr1	+	911435	914948	870475	914948	44474	yes
AL645608.4	ENSG00000241180.1	ENST00000398216.2	chr1	+	914171	914971	873211	914971	41761	yes
LINC02593	ENSG00000223764.2	ENST00000432961.1	chr1	-	918534	917370	917370	959494	42125	yes
SAMD11	ENSG00000187634.11	ENST00000455979.1	chr1	+	939275	944259	898315	944259	45945	yes
NOC2L	ENSG00000188976.10	ENST00000327044.6	chr1	-	959290	944204	944204	1000250	56047	yes
KLHL17	ENSG00000187961.13	ENST00000338591.7	chr1	+	960587	965715	919627	965715	46089	yes
PLEKHN1	ENSG00000187583.10	ENST00000379410.7	chr1	+	966497	975108	925537	975108	49572	yes
PERM1	ENSG00000187642.9	ENST00000479361.1	chr1	-	976641	975205	975205	1017601	42397	yes
AL645608.7	ENSG00000272512.1	ENST00000606034.1	chr1	-	998051	995966	995966	1039011	43046	yes
HES4	ENSG00000188290.10	ENST00000304952.10	chr1	-	1000111	998964	998964	1041071	42108	yes
ISG15	ENSG00000187608.9	ENST00000379389.4	chr1	+	1013423	1014540	972463	1014540	42078	yes
AGRN	ENSG00000188157.14	ENST00000379370.6	chr1	+	1020123	1056116	979163	1056116	76954	yes
AL645608.8	ENSG00000273443.1	ENST00000442292.2	chr1	-	1063288	1062208	1062208	1104248	42041	yes
RNF223	ENSG00000237330.2	ENST00000453464.2	chr1	-	1074307	1070966	1070966	1115267	44302	yes
C1orf159	ENSG00000131591.17	ENST00000421241.6	chr1	-	1116098	1081823	1081823	1157058	75236	yes
LINC01342	ENSG00000223823.1	ENST00000416774.1	chr1	+	1137017	1144056	1096057	1144056	48000	yes
AL390719.2	ENSG00000272141.1	ENST00000606993.1	chr1	+	1169357	1170343	1128397	1170343	41947	yes
